timestamp,name,attribute_name,value
48:24.3,EV Chargers,power,96.592
18:15.1,EV Chargers,power,137.697
18:24.7,EV Chargers,power,96.592
48:38.8,EV Chargers,power,137.465
48:39.6,EV Chargers,power,96.592
19:01.5,EV Chargers,power,137.491
19:04.9,EV Chargers,power,96.592
49:22.1,EV Chargers,power,141.096
49:32.5,EV Chargers,power,96.592
19:33.1,EV Chargers,power,96.592
19:43.0,EV Chargers,power,147.637
49:51.9,EV Chargers,power,96.592
50:07.2,EV Chargers,power,152.934
20:18.5,EV Chargers,power,96.592
20:29.4,EV Chargers,power,157.089
50:37.0,EV Chargers,power,96.592
50:51.3,EV Chargers,power,157.614
20:53.2,EV Chargers,power,96.592
21:19.5,EV Chargers,power,158.037
51:09.0,EV Chargers,power,96.592
51:20.2,EV Chargers,power,158.421
21:29.0,EV Chargers,power,96.592
51:48.4,EV Chargers,power,96.592
52:30.8,EV Chargers,power,165.124
22:11.8,EV Chargers,power,96.592
22:33.4,EV Chargers,power,166.252
52:28.7,EV Chargers,power,96.592
52:34.3,EV Chargers,power,157.83
22:53.7,EV Chargers,power,153.198
53:21.4,EV Chargers,power,141.256
53:39.4,EV Chargers,power,96.592
23:40.7,EV Chargers,power,96.592
23:49.5,EV Chargers,power,127.201
54:00.3,EV Chargers,power,96.592
24:15.9,EV Chargers,power,86.029
54:35.6,EV Chargers,power,66.538
24:55.8,EV Chargers,power,53.618
55:16.3,EV Chargers,power,48.005
25:46.3,EV Chargers,power,40.692
56:15.4,EV Chargers,power,33.021
26:15.9,EV Chargers,power,24.722
56:43.4,EV Chargers,power,21.663
26:59.4,EV Chargers,power,16.25
57:18.9,EV Chargers,power,11.745
27:43.9,EV Chargers,power,8.475
58:08.7,EV Chargers,power,7.7
28:26.5,EV Chargers,power,6.251
58:46.7,EV Chargers,power,7.435
29:08.3,EV Chargers,power,7.788
59:33.6,EV Chargers,power,12.225
29:54.4,EV Chargers,power,23.103
00:16.6,EV Chargers,power,51.552
30:31.5,EV Chargers,power,61.433
30:36.3,EV Chargers,power,93.692
00:51.7,EV Chargers,power,65.051
01:03.2,EV Chargers,power,93.692
31:24.0,EV Chargers,power,63.968
31:25.1,EV Chargers,power,93.692
01:39.2,EV Chargers,power,93.692
31:59.5,EV Chargers,power,93.692
32:35.4,EV Chargers,power,58.35
02:18.5,EV Chargers,power,93.692
02:36.0,EV Chargers,power,57.795
32:42.8,EV Chargers,power,93.692
32:59.3,EV Chargers,power,65.877
03:00.2,EV Chargers,power,72.803
03:06.1,EV Chargers,power,93.692
33:29.7,EV Chargers,power,69.622
33:47.8,EV Chargers,power,93.692
03:48.2,EV Chargers,power,93.692
03:52.3,EV Chargers,power,62.347
34:13.4,EV Chargers,power,59.033
34:15.1,EV Chargers,power,93.692
04:29.9,EV Chargers,power,62.312
04:43.1,EV Chargers,power,93.692
34:30.7,EV Chargers,power,60.597
34:45.1,EV Chargers,power,93.692
04:45.8,EV Chargers,power,93.692
04:54.6,EV Chargers,power,71.777
35:12.2,EV Chargers,power,93.692
35:19.1,EV Chargers,power,70.382
05:38.3,EV Chargers,power,93.692
05:44.4,EV Chargers,power,78.767
35:38.9,EV Chargers,power,93.692
35:44.8,EV Chargers,power,112.473
06:06.3,EV Chargers,power,93.692
06:07.7,EV Chargers,power,138.467
36:23.1,EV Chargers,power,93.692
36:27.0,EV Chargers,power,152.212
06:39.5,EV Chargers,power,93.692
06:48.3,EV Chargers,power,151.608
37:04.6,EV Chargers,power,93.692
37:06.8,EV Chargers,power,145.841
07:31.8,EV Chargers,power,93.692
07:33.9,EV Chargers,power,144.016
37:53.4,EV Chargers,power,137.11
37:57.3,EV Chargers,power,93.692
08:12.6,EV Chargers,power,93.692
08:13.6,EV Chargers,power,134.347
38:28.4,EV Chargers,power,93.692
38:31.8,EV Chargers,power,129.445
08:56.3,EV Chargers,power,93.692
08:58.7,EV Chargers,power,122.752
39:15.0,EV Chargers,power,93.692
39:18.2,EV Chargers,power,114.517
09:43.0,EV Chargers,power,93.619
09:43.6,EV Chargers,power,93.692
40:00.4,EV Chargers,power,93.692
40:06.4,EV Chargers,power,87.119
10:31.1,EV Chargers,power,88.751
41:01.5,EV Chargers,power,75.782
11:20.7,EV Chargers,power,63.026
41:50.2,EV Chargers,power,55.177
12:08.7,EV Chargers,power,48.777
42:34.7,EV Chargers,power,41.212
12:56.3,EV Chargers,power,32.49
43:16.9,EV Chargers,power,22.563
13:18.3,EV Chargers,power,18.19
43:39.9,EV Chargers,power,15.876
13:59.8,EV Chargers,power,12.716
44:26.8,EV Chargers,power,8.572
14:52.3,EV Chargers,power,9.641
45:14.7,EV Chargers,power,10.056
15:15.9,EV Chargers,power,14.347
45:37.7,EV Chargers,power,20.587
15:53.4,EV Chargers,power,28.714
46:13.9,EV Chargers,power,41.263
16:33.7,EV Chargers,power,52.283
46:54.8,EV Chargers,power,55.912
47:07.8,EV Chargers,power,122.091
17:24.0,EV Chargers,power,122.091
17:24.2,EV Chargers,power,60.658
47:44.9,EV Chargers,power,59.523
47:48.6,EV Chargers,power,122.091
18:07.1,EV Chargers,power,67.184
18:07.8,EV Chargers,power,122.091
48:26.1,EV Chargers,power,122.091
48:26.2,EV Chargers,power,74.473
18:43.2,EV Chargers,power,122.091
18:51.4,EV Chargers,power,70.246
49:09.6,EV Chargers,power,122.091
49:12.3,EV Chargers,power,75.11
19:34.5,EV Chargers,power,80.499
19:42.3,EV Chargers,power,122.091
49:51.8,EV Chargers,power,79.986
50:12.7,EV Chargers,power,122.091
20:12.6,EV Chargers,power,71.501
20:13.0,EV Chargers,power,122.091
50:29.3,EV Chargers,power,75.591
50:37.6,EV Chargers,power,122.091
20:30.4,EV Chargers,power,73.547
